股票代码,股票名称,最新价格,涨跌幅(%),市盈率PE,市净率PB,总市值,板块类型,风险状态
600315,上海家化,17.79,-0.67,43.848,1.69,11958900184,上交所主板,正常上市
600318,新力金融,6.6,-1.35,79.45,3.05,3384002371,上交所主板,正常上市
600319,亚星化学,6.19,-1.28,-14.702,7.108,2399921087,上交所主板,正常上市
600320,振华重工,4.1,-0.97,25.332,1.354,21551903130,上交所主板,正常上市
600322,津投城开,2.73,-1.8,-2.576,39.826,3018561000,上交所主板,正常上市
600323,瀚蓝环境,29.64,0.14,11.324,1.588,24166889407,上交所主板,正常上市
600325,华发股份,2.54,-2.31,-0.657,0.815,6990466375,上交所主板,正常上市
600327,大东方,4.24,5.21,-14.074,1.328,3751465156,上交所主板,正常上市
600328,中盐化工,6.32,-0.94,-95.175,0.785,9267076249,上交所主板,正常上市
600329,达仁堂,37.11,1.06,13.102,3.798,28578201551,上交所主板,正常上市
600330,天通股份,24.85,2.52,-120.885,3.974,30650845238,上交所主板,正常上市
600332,白云山,21.65,0.74,11.928,0.888,35198374046,上交所主板,正常上市
600333,长春燃气,6.2,-0.16,326.545,1.953,3775990241,上交所主板,正常上市
600335,国机汽车,5.08,-0.59,18.268,0.651,7556281011,上交所主板,正常上市
600336,澳柯玛,6.32,-0.32,-23.163,2.225,5043453340,上交所主板,正常上市
600337,ST美克,3.0,0.33,-1.787,11.026,4310994411,上交所主板,ST风险警示
600338,西藏珠峰,13.68,-1.94,22.134,2.773,12506395098,上交所主板,正常上市
600339,中油工程,3.21,-1.53,48.098,0.666,17921903382,上交所主板,正常上市
600340,*ST华幸,1.11,-1.77,-0.198,-0.226,4321624119,上交所主板,*ST退市风险警示
600343,航天动力,20.06,0.2,-67.901,10.057,12802419341,上交所主板,正常上市
600345,长江通信,47.33,0.23,62.271,4.102,15600542208,上交所主板,正常上市
600348,华阳股份,8.6,-1.04,19.516,1.114,31024500000,上交所主板,正常上市
600350,山东高速,11.03,1.47,16.49,1.738,53325316200,上交所主板,正常上市
600351,亚宝药业,7.07,2.02,15.115,1.732,4892440325,上交所主板,正常上市
600353,旭光电子,29.4,1.07,148.361,12.661,24367048075,上交所主板,正常上市
600354,敦煌种业,6.1,-0.65,105.145,4.302,3219592688,上交所主板,正常上市
600356,恒丰纸业,8.88,-0.67,12.914,0.949,2926284156,上交所主板,正常上市
600358,国旅联合,5.35,-2.19,-175.944,2.883,6222881438,上交所主板,正常上市
600359,新农开发,6.14,-0.49,-155.466,3.473,2342488715,上交所主板,正常上市
600360,华微电子,10.56,-0.47,57.724,2.888,10140718410,上交所主板,正常上市
600361,创新新材,3.67,-1.87,16.213,1.201,13698872891,上交所主板,正常上市
600365,ST通葡,2.83,0.0,,5.834,1284621900,上交所主板,ST风险警示
600366,宁波韵升,12.24,-0.65,32.826,2.119,13452262464,上交所主板,正常上市
600367,红星发展,33.95,1.46,125.802,4.658,11581394123,上交所主板,正常上市
600368,五洲交通,3.97,-1.24,11.456,0.862,6390325816,上交所主板,正常上市
