代码,名称,共振级别,周K信号,月K信号
600315,上海家化,🚀 月K单启,False,True
600319,亚星化学,🚀 月K单启,False,True
600320,振华重工,🚀 月K单启,False,True
600325,华发股份,🚀 月K单启,False,True
600327,大东方,🚀 月K单启,False,True
600328,中盐化工,🚀 月K单启,False,True
600330,天通股份,📈 周K单启,True,False
600332,白云山,🚀 月K单启,False,True
600338,西藏珠峰,🚀 月K单启,False,True
600339,中油工程,🚀 月K单启,False,True
600345,长江通信,📈 周K单启,True,False
600346,恒力石化,🚀 月K单启,False,True
600350,山东高速,📈 周K单启,True,False
600353,旭光电子,📈 周K单启,True,False
600358,国旅联合,🚀 月K单启,False,True
600360,华微电子,📈 周K单启,True,False
600362,江西铜业,🚀 月K单启,False,True
600363,联创光电,🔥 周月双启,True,True
600366,宁波韵升,📈 周K单启,True,False
600372,中航机载,🚀 月K单启,False,True
600373,中文传媒,🚀 月K单启,False,True
600375,汉马科技,🚀 月K单启,False,True
600380,健康元,🚀 月K单启,False,True
600383,金地集团,🚀 月K单启,False,True
600386,北巴传媒,🚀 月K单启,False,True
600390,五矿资本,🚀 月K单启,False,True
600391,航发科技,🚀 月K单启,False,True
600392,盛和资源,📈 周K单启,True,False
600399,抚顺特钢,🚀 月K单启,False,True
600403,大有能源,🚀 月K单启,False,True
600409,三友化工,🚀 月K单启,False,True
600410,华胜天成,🚀 月K单启,False,True
600416,湘电股份,🚀 月K单启,False,True
600418,江淮汽车,🚀 月K单启,False,True
600425,青松建化,🚀 月K单启,False,True
600426,华鲁恒升,🚀 月K单启,False,True
600435,北方导航,🚀 月K单启,False,True
600438,通威股份,🚀 月K单启,False,True
600444,国机通用,🚀 月K单启,False,True
600446,金证股份,🚀 月K单启,False,True
600456,宝钛股份,🚀 月K单启,False,True
600463,空港股份,🚀 月K单启,False,True
600467,好当家,🚀 月K单启,False,True
600469,风神股份,🚀 月K单启,False,True
600475,华光环能,🚀 月K单启,False,True
600477,杭萧钢构,🚀 月K单启,False,True
600478,科力远,🚀 月K单启,False,True
600481,双良节能,🚀 月K单启,False,True
600489,中金黄金,🚀 月K单启,False,True
600490,鹏欣资源,🚀 月K单启,False,True
600493,凤竹纺织,🚀 月K单启,False,True
600496,精工钢构,🚀 月K单启,False,True
600497,驰宏锌锗,📈 周K单启,True,False
600498,烽火通信,📈 周K单启,True,False
